itemcode,itemname,categ,price
XVWA0987,Affogato,"Espresso,Vanilla Gelato",4.69
XVWA3876,Americano,Espresso,5
XVWA4589,Bicerin,"Espresso, Chocolate, Milk",8.9
XVWA7619,"Café Bombón","Espresso, Sweetened Milk",7.08
XVWA5642,"Café au lait","Coffee, Milk",10.15
XVWA7569,"Caffé corretto","Espresso, Liquor Shot",6.01
XVWA3671,"Caffé latte","Espresso, Milk",6.04
XVWA1672,"Café mélange","White Creame",3.06
XVWA4276,"Cafe mocha","Latte, Chocolate",4.05
XVWA9680,Cappuccino,"Espresso, Milk",3.06
XVWA1417,test,test,100
